year,level_1,level_2,value
2007,Average Household Size Among Resident Households,Total HDB Dwellings,3.44
2007,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.44
2007,Average Household Size Among Resident Households,Landed Properties,4.22
2007,Average Household Size Among Resident Households,Other Types Of Dwelling,3.04
2008,Average Household Size Among Resident Households,Total HDB Dwellings,3.45
2008,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.46
2008,Average Household Size Among Resident Households,Landed Properties,4.32
2008,Average Household Size Among Resident Households,Other Types Of Dwelling,3.09
2009,Average Household Size Among Resident Households,Total HDB Dwellings,3.45
2009,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.45
2009,Average Household Size Among Resident Households,Landed Properties,4.28
2009,Average Household Size Among Resident Households,Other Types Of Dwelling,2.98
2010,Average Household Size Among Resident Households,Total HDB Dwellings,3.45
2010,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.41
2010,Average Household Size Among Resident Households,Landed Properties,4.39
2010,Average Household Size Among Resident Households,Other Types Of Dwelling,2.65
2011,Average Household Size Among Resident Households,Total HDB Dwellings,3.46
2011,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.43
2011,Average Household Size Among Resident Households,Landed Properties,4.38
2011,Average Household Size Among Resident Households,Other Types Of Dwelling,3.21
2012,Average Household Size Among Resident Households,Total HDB Dwellings,3.48
2012,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.48
2012,Average Household Size Among Resident Households,Landed Properties,4.35
2012,Average Household Size Among Resident Households,Other Types Of Dwelling,2.99
2013,Average Household Size Among Resident Households,Total HDB Dwellings,3.42
2013,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.42
2013,Average Household Size Among Resident Households,Landed Properties,4.33
2013,Average Household Size Among Resident Households,Other Types Of Dwelling,3.38
2014,Average Household Size Among Resident Households,Total HDB Dwellings,3.37
2014,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.4
2014,Average Household Size Among Resident Households,Landed Properties,4.32
2014,Average Household Size Among Resident Households,Other Types Of Dwelling,3.02
2015,Average Household Size Among Resident Households,Total HDB Dwellings,3.34
2015,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.34
2015,Average Household Size Among Resident Households,Landed Properties,4.3
2015,Average Household Size Among Resident Households,Other Types Of Dwelling,2.92
